ProductId,UserId,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,Cleaned_Text,HelpfulnessRatio,ReviewLength,ReviewDate,ReviewYear,ReviewMonth,TextLength
B007L3NVKU,A1V8MR2WXXDOM9,0,1,1,9/21/2012,Just threw away $35 worth of coffee,"I bought this coffee because of Mr. Newman's charity. Boy, was that a misguided decision. The coffee is bitter, but the worst attribute is its muddy, sludgy mouth feel--which is the hallmark of poor quality beans. I just threw away about $35 worth...words to the wise.",bought coffee mr newman charity boy misguided decision coffee bitter worst attribute muddy sludgy mouth feelwhich hallmark poor quality bean threw away 35 worthwords wise,0,46,9/21/2012,2012,9,268
B0026WL13U,A2RNYW2HIQBGSM,1,5,1,12/23/2008,Worst meat snack I ever tried,"They taste more like chemicals than meat.  I like a lot of jerky and meat sticks, but would not eat these.  The dogs liked them though.",taste like chemical meat like lot jerky meat stick would not eat dog liked though,0.2,26,12/23/2008,2008,12,135
B0069AFIN4,A32POLCN9IW6XE,0,0,1,10/10/2012,Not star struck with Starbucks!,"I was very disappointed with this purchase! The k-cups came in a plain box with the cups dumped in.  Most looked smashed or old. There is no expiration date so there is no way to tell how old these things are. They look old!!  Also, beware of return policy for this is NO return available (and there is NO mention of that on the item!). $40+ down the drain and in the trash. I will NEVER buy coffee through Amazon again!!!!!!!!!!!!!!!",disappointed purchase kcups came plain box cup dumped looked smashed old no expiration date no way tell old thing look old also beware return policy no return available no mention item 40 drain trash never buy coffee amazon,0,81,10/10/2012,2012,10,434
B003VXHGPK,A1B5T3IUHLZ2UU,7,10,1,1/17/2011,FLAVORED COFFEE??,Nowhere in the description does it mention anything about this coffee being flavored. I'm still not sure what flavor it is. Some type of nut. I wrongly assumed that Jamaican coffee would be similar to the Blue Mountain coffee which Jamaica is known for! How silly of me to assume that! I hate flavored coffees so I was so disappointed to now own 2 boxes of such a horrible coffee. It only says flavored very small on the box so I didn't notice it before I opened it. Hopefully I can pawn it off to visitors and buy some regular bold coffee-flavored coffee for myself!,nowhere description mention anything coffee flavored still not sure flavor type nut wrongly assumed jamaican coffee would similar blue mountain coffee jamaica known silly assume hate flavored coffee disappointed 2 box horrible coffee say flavored small box not notice opened hopefully pawn visitor buy regular bold coffeeflavored coffee,0.7,105,1/17/2011,2011,1,567
B005XB5WEU,A3NI3VHW1LOR64,0,0,1,8/11/2012,Pikes Place k cups not the same,"The Pikes Place Coffee at the Starbucks store is my favorite coffee. Decided to buy Pikes Place k cups.<br />The  taste is completely different, similar to Newman's Own Extra Bold.  I will not buy Pikes Place k cups again.",pike place coffee starbucks store favorite coffee decided buy pike place k cupsthe taste completely different similar newman extra bold not buy pike place k cup,0,39,8/11/2012,2012,8,222
B001B3ZN7U,A17KRFZZ5F4OYB,14,17,1,2/26/2009,DO NOT BUY THIS FROM THIS SELLER!,"I have had this wonderful treat in Germany but these guys are selling old and stale stuff.  And the shipping was over $20.00<br />I have written to them about it and will update this review if they make good on selling outdated candy.<br /><br />These guys did make goodand ship another order to me but unfortunately they didn't check the product since it too was stale.  Sadly, I feel like I can't change the review.",wonderful treat germany guy selling old stale stuff shipping 2000i written update review make good selling outdated candythese guy make goodand ship another order unfortunately not check product since stale sadly feel like not change review,0.823529412,75,2/26/2009,2009,2,417
B002DHMVQE,A1QCUY2LKEBXKP,2,3,1,1/2/2012,when the cereal arrived it was outdated by over 3 months,"I received this 4 pack of cereal on 12/20/11...I looked at the 'best if used by' date on the top...and they all were 9/13/11! Thanks for the 3 month old cereal!  I was credited by $ but come on, what is the sense of even sending that old stuff out?",received 4 pack cereal 122011i looked best used date topand 91311 thanks 3 month old cereal credited come sense even sending old stuff,0.666666667,50,1/2/2012,2012,1,248
B005UP1M4I,AW3SIBLND32SF,0,0,1,8/23/2012,Terrible,"I was truly disappointed when I received this product.  It didn't work with my machine, and it was a total Waste of money.",truly disappointed received product not work machine total waste money,0,23,8/23/2012,2012,8,122
B002WF9M14,AVFESPOFVWBYW,1,1,1,8/31/2010,Avoid this!,I'm eating this right now and I don't think I can finish it.  It tastes nothing like Kraft's regular Mac & Cheese (which I love) -- this is almost inedible.  The cheese flavor is very artificial in the worst way possible.  I don't know how this got past product testing.,eating right not think finish taste nothing like kraft regular mac cheese love almost inedible cheese flavor artificial worst way possible not know got past product testing,1,50,8/31/2010,2010,8,270
B007OXJJQ2,APT0Q6W60QALY,1,3,1,1/26/2011,Ick!,"Terrible! Overwhelming fake, gross blueberry flavor. My wife bought a box of this for me to take to the shared Keurig machine in my office. Of the 18 cups, only 4 were tasted. None of those cups was finished. No one will use the remaining cups, even when desperate for coffee. Avoid.",terrible overwhelming fake gross blueberry flavor wife bought box take shared keurig machine office 18 cup 4 tasted none cup finished no  use remaining cup even desperate coffee avoid,0.333333333,52,1/26/2011,2011,1,283
B004ZHYDNE,A2VNRCCYRZYKV4,0,0,1,9/5/2012,What did I receive??,"I ordered 500 hundred of these seeds.  After carefully starting them in April under grow lights, they began to grow very quickly.  However it is now Sept. and they are not purple and they don't have any plumes.  I'm not sure what they sent me, [ASIN:B004ZHYDNE 50 PURPLE FOUNTAIN GRASS Ornamental Pennisetum Seeds].  but it definitely wasnt pennisetum rubrum (purple fountain grass) We were going to do a mass planting of them for our daughters garden wedding, how dissapointing!!",ordered 500 hundred seed carefully starting april grow light began grow quickly however sept not purple not plume not sure sent asinb004zhydne 50 purple fountain grass ornamental pennisetum seed definitely wasnt pennisetum rubrum purple fountain grass going mass planting daughter garden wedding dissapointing,0,79,9/5/2012,2012,9,480
B0027VG9KK,A1C4FMEXM9WUMM,1,3,1,2/9/2012,Tasteless and bland. A disappointment,"Thin, tasteless and boring. That pretty much describes this sauce (and the other sauces by this brand). It's so bad I'm shocked that Mario Batali put is name on this!<br /><br />The Pros: The sauce has a nice color and a nice texture with some chunkier peices in it.<br /><br />The Cons: The sauce is tasteless and in between the chunkier bits it doesn't cling well to the pasta. You can see bits of garlic, onion in the sauce but the flavor has been completely boiled out of it to point that all that's left the bitter part of the garlic and the acidic part of the tomatoes. To say the flavors don't blend is an understatement. There aren't any flavors to blend in the first place.<br /><br />I would be embarrassed to be Mario Batali right now. Obviously he has traded his expertise and food quality for the money making machine.<br /><br />I severed this my boyfiend and we all agreed it wasn't a good sauce and would rather eat pasta plain than suffer through this sauce again. Such a disappointment.",thin tasteless boring pretty much describes sauce sauce brand bad shocked mario batali put name thisthe pro sauce nice color nice texture chunkier peices itthe con sauce tasteless chunkier bit not cling well pasta see bit garlic onion sauce flavor completely boiled point left bitter part garlic acidic part tomato say flavor not blend understatement not flavor blend first placei would embarrassed mario batali right obviously traded expertise food quality money making machinei severed boyfiend agreed not good sauce would rather eat pasta plain suffer sauce disappointment,0.333333333,182,2/9/2012,2012,2,1004
B000CR41D8,APA9JOZPH39Y7,1,1,1,5/11/2011,Its burned,"I was excited about my high protein pretzels but when i opened and tasted it, it tasted burned. I inspected the rest of the bags in the package and they all look dark brown. I don't know if i just received a bad batch as i also ordered the spelt pretzels from Vitacost ( lower priced; not like here where the price suddenly got jacked up after being featured in Yahoo from $30 to $49!) and it tasted fine, no burnt taste.<br /><br />I am trying to return the package as i don't know what to do with 12 bags of burnt pretzels. But you can only return unopened one ( i already opened one bag) and within 7 days. After paying for the shipping fees and half refund, if ever they accepted the item for refund, its not worth the effort.<br /><br />So if you are still considering buying the Hi-Protein Pretzel, buy at your own risk.",excited high protein pretzel opened tasted tasted burned inspected rest bag package look dark brown not know received bad batch also ordered spelt pretzel vitacost lower priced not like price suddenly got jacked featured yahoo 30 49 tasted fine no burnt tastei trying return package not know 12 bag burnt pretzel return unopened  already opened  bag within 7 day paying shipping fee half refund ever accepted item refund not worth effortso still considering buying hiprotein pretzel buy risk,1,158,5/11/2011,2011,5,826
B000V7710O,AUUFW7PTUHLT,0,1,1,5/28/2012,"Tasteless, arrived badly damaged, and long past the expiration date!","I love figs and took advantage of the 50% off special last summer to order these. I was quite disappointed when the first box has 1 dented can packed in with other products, but I opened it anyway. It was so blah I couldn't eat any after the first one and threw the rest out. When the box with just canned figs arrived, I asked DH to take them to the homeless shelter. He and the shelter cook opened the box and discovered that not only were all the cans dented and damaged, the expiration date was long past! Unfortunately, DH just threw them away in the shelter's trash or I would have returned them to Amazon and gotten my money back. If there was a rating lower than 1 star, I would give it.",love fig took advantage 50 special last summer order quite disappointed first box 1 dented packed product opened anyway blah could not eat first  threw rest box canned fig arrived asked dh take homeless shelter shelter cook opened box discovered not can dented damaged expiration date long past unfortunately dh threw away shelter trash would returned amazon gotten money back rating lower 1 star would give,0,135,5/28/2012,2012,5,695
B000O9T6NE,A3CPVX667S0A15,2,2,1,11/17/2011,Extra Crispy Vanilla Beans,"I received my vanilla beans today. In anticipation of receiving my beans I got all my ice cream making equipment together and ready to go. Unfortunately what I received was extra crispy, dried out vanilla beans. The aroma is still there but they aren't fresh at all. The literally look and feel like someone deep fried them. I was wondering how these people could sell $6.00 vanilla beans, but I guess your better off paying the $15.00 for 2 beans at the store.",received vanilla bean today anticipation receiving bean got ice cream making equipment together ready go unfortunately received extra crispy dried vanilla bean aroma still not fresh literally look feel like someone deep fried wondering people could sell 600 vanilla bean guess better paying 1500 2 bean store,1,83,11/17/2011,2011,11,461
B0009YJ4CW,A11WQNT7NNYUT3,0,0,1,9/2/2012,Gone in 1800 Seconds,"Don't buy this!  The main ingredient of the treats is wheat gluten, for one.  Also my dog ate the entire thing, rubber and all, in less than 30 minutes.  It's a miracle he didn't have more problems than just diarrhea.",not buy main ingredient treat wheat gluten  also dog ate entire thing rubber less 30 minute miracle not problem diarrhea,0,40,9/2/2012,2012,9,217
B000I612BM,A2CAHAO8FYAF8H,1,6,1,10/24/2011,Cherries or Gooseberries,I ordered dark cherries and I received gooseberries. Someone was not paying attention. My order conformation showed the cherries that I ordered.,ordered dark cherry received gooseberry someone not paying attention order conformation showed cherry ordered,0.166666667,22,10/24/2011,2011,10,144
B0052MH1M6,A3UHEWOFOS983L,1,1,1,12/8/2011,Don't buy this here,"These coffee things are overpriced, but if you're looking for some, obviously you already have a Nespresso, and so you already know that.<br /><br />Don't get them from anyone but Nespresso.  I bought mine online and payed like 2/3 more than if I bought them from Nespresso.  I love Amazon for deals, but I didn't realize that Nespresso is the only company making the pods, and they totally control the market",coffee thing overpriced looking obviously already nespresso already know thatdo not get anyone nespresso bought mine online payed like 23 bought nespresso love amazon deal not realize nespresso company making pod totally control market,1,71,12/8/2011,2011,12,409
B001SAUZA6,A1IQUWJ9N6RSU1,0,0,1,10/8/2012,tastes like chemicals,really bad taste. Not natural at all. We bought a pack but only used one. I wish we hadn't bought it.,really bad taste not natural bought pack used  wish not bought,0,21,10/8/2012,2012,10,101
B000J2CLHO,A1CO1KP8C5IAMS,0,1,1,11/9/2011,not good,My friend and I all bought this products. It tastes not very good. We will not buy again. Bar Harbor Crab Bisque,friend bought product taste not good not buy bar harbor crab bisque,0,22,11/9/2011,2011,11,112
B007OXJLZQ,A6TUCK8W9L8MJ,0,11,1,2/7/2011,Wrong Product,They sent me hazelnut and I ordered vanilla--I think they should send me an order of VANILLA decaf for free,sent hazelnut ordered vanillai think send order vanilla decaf free,0,20,2/7/2011,2011,2,107
B000Z8R63G,A36AW2T1H6I5H7,1,1,1,2/27/2012,Not worth it - even at discounted price --  Where are they made?,"The first clue was the non-uniform appearance. The hole was only sometimes in the middle. Like someone else noted, there was bits of chocolate broken off. The rings weren't all ring shaped. The taste was blah. I looked on the box to see where they were made and got really concerned. THey said ""Made For Manhattan Chocolate and Nuts, Inc. Bayonne, NJ 07002"". Considering how many foods get recalled, shouldn't it say where they are ACTUALLY made? Got at Costco and I'm taking them back. Worth trying once so you can really appreciate Joyva, lol. My son loves Jelly Rings and wouldn't take more than one bite. Lesson learned. Two thumbs down.",first clue nonuniform appearance hole sometimes middle like someone else noted bit chocolate broken ring not ring shaped taste blah looked box see made got really concerned said made manhattan chocolate nut inc bayonne nj 07002 considering many food get recalled not say actually made got costco taking back worth trying really appreciate joyva lol son love jelly ring would not take  bite lesson learned two thumb,1,112,2/27/2012,2012,2,641
B001SAXPEO,A2B5OI74EHGVH1,3,8,1,5/5/2010,dripping in oil,"I purchased these because of the low salt, and they were indeed low in salt. However, many, many of the chips in the bag were literally dripping in oil. I have never encountered this problem with other potato chip brands. It was very unappetizing, and who wants all that oil? I will never buy these again, and I would not recommend them to others.",purchased low salt indeed low salt however many many chip bag literally dripping oil never encountered problem potato chip brand unappetizing want oil never buy would not recommend others,0.375,64,5/5/2010,2010,5,347
B001EO5W2M,AGVQJA30SW3WC,1,8,1,4/18/2009,No chocolate in this beverage!,Just bought a 4 pack last week and was surprised to find that there's no chocolate as an ingredient at all in this beverage. The title seems to be misleading as it says Ghiradelli Chocolate hot beverage mix.,bought 4 pack last week surprised find no chocolate ingredient beverage title seems misleading say ghiradelli chocolate hot beverage mix,0.125,38,4/18/2009,2009,4,207
B00141OY4W,AZ8XDC7985QW,1,1,1,7/23/2012,Al sweet potato chews mot created equal,The Dogington Post issued a warning about Dogswell sweet potato chews.  This product comes from China.  The Veterinary Information Network lists four such products as implicated in the poisoning of dogs eating them.  This product is one of them and should not be given to our pets.,dogington post issued warning dogswell sweet potato chew product come china veterinary information network list four product implicated poisoning dog eating product  not given pet,1,47,7/23/2012,2012,7,281
B000FIY3FU,A16R867L6P8RVJ,1,1,1,6/22/2012,"Diabetics, beware!","One block about one inch square of this chocolate gave me a 50 point blood glucose spike in one hour. It tasted fine, but the negative impact on my blood glucose control will keep me from ever purchasing again.", block  inch square chocolate gave 50 point blood glucose spike  hour tasted fine negative impact blood glucose control keep ever purchasing,1,39,6/22/2012,2012,6,210
B000FI2VHM,AC3NT34U7ZH1V,1,1,1,2/6/2009,greens are not growing,"My package arrived quickly, but was not packaged well.  (Squished)  The salad greens, which I started 4 weeks ago, began to grow and then whithered and are now dying.  This is the 4th kit I have done and I have checked everything on my end.  I know I did everything right and I never had a problem with any others.  (2 bought at stores and 1 bought on line/different vender) Not sure what the problem is, but I'm guessing the kit was old.  I guess that is my fault for not checking the date and have since thrown the box away.  Will be more careful in the future buying kits.",package arrived quickly not packaged well squished salad green started 4 week ago began grow whithered dying 4th kit done checked everything end know everything right never problem others 2 bought store 1 bought linedifferent vender not sure problem guessing kit old guess fault not checking date since thrown box away careful future buying kit,1,110,2/6/2009,2009,2,575
B00141OVJA,A3HIFHS6D69YP4,6,11,1,9/9/2010,Should Be Zero Stars,"This product is made in China. Although it is distributed by a company in the US, it states ""Made In China."" I see that nowhere listed on the ad to buy it and thinking I was doing my dog a favor, I did him harm; he has been ill for two days, after eating two of these ""treats"" when I received them two days ago. Because the label touts health and wholeness does not mean it is made by people with health in mind. It is made in China. The same nation which put melamine in food; melamine reads as protein in analysis of the food so it was a cheap and shameless method to advertise more protein while it caused misery and tears and death to countless. And this is an item Amazon does not accept as a return so purchase at your own (dog's) risk.",product made china although distributed company u state made china see nowhere listed ad buy thinking dog favor harm ill two day eating two treat received two day ago label tout health wholeness not mean made people health mind made china nation put melamine food melamine read protein analysis food cheap shameless method advertise protein caused misery tear death countless item amazon not accept return purchase dog risk,0.545454545,147,9/9/2010,2010,9,742
B004LS6Q5K,A1RAUK06FSIBO1,0,0,1,3/21/2012,horrible horribly stale,"All I can say is all the packages were stale and not edible. Total waste of money. Had a sell by date of dec 2012 but nuts and granolas had a very bitter and stale taste. Yucks, double yucks.",say package stale not edible total waste money sell date dec 2012 nut granola bitter stale taste yucks double yucks,0,39,3/21/2012,2012,3,191
B0053W5CFS,AX9VCSRMR3R8Q,0,0,1,9/29/2011,Awful is the word that best describes this stuff,I ordered this junk a few weeks ago and it is BAD.<br />It's so tough and full of grizzle that my dog would have a hard time chewing it.<br />Don't waste your money on this!,ordered junk week ago badit tough full grizzle dog would hard time chewing itdo not waste money,0,35,9/29/2011,2011,9,173
B00122E5RY,ALEKL3UY7021W,0,3,1,4/23/2011,Did I pay for sugar and water?,This is a poor excuse for lychee product. It is water with sugar and a very faint lychee flavor. You can do better with any brand lychee honey (syrup) from a supermarket in Chinatown<br />which has 20 times the lychee flavor. I ended up throwing the 4 bottles away after a sip.,poor excuse lychee product water sugar faint lychee flavor better brand lychee honey syrup supermarket chinatownwhich 20 time lychee flavor ended throwing 4 bottle away sip,0,52,4/23/2011,2011,4,277
B000NIFO96,A2W225SFTQNF3N,0,0,1,1/30/2010,"Not green, not good","This decaf really disappointed me, esp. given the other glowing reviews.  It does not appear green, nor does it taste ""green"" (ie: doesn't have that fresh ""grassy"" flavor many describe as found in an authentic Japanese green tea).  Actually, this could be a good paring with seafood, because  I sometimes detect a slight fishiness in the taste.  Yuk.  Stash Decaf Green, the non-organic, non-premium tea, is actually a little better than this one.  What people like is a matter of personal taste, but I won't ever buy this tea again.",decaf really disappointed esp given glowing review not appear green nor taste green ie not fresh grassy flavor many describe found authentic japanese green tea actually could good paring seafood sometimes detect slight fishiness taste yuk stash decaf green nonorganic nonpremium tea actually little better  people like matter personal taste not ever buy tea,0,90,1/30/2010,2010,1,533
B000QSN7P6,A3O6KWUXYFECY0,13,33,1,11/6/2010,"BAD, do NOT buy!","Chicken by-product, corn gluten meal, and whole ground corn?!!  Yeah, I'm NOT feeding my cat that, sorry. Googling ""corn gluten meal"" shows that it is used as an herbicide according to U.S. Patent # 5,030,268. If you Google ""U.S. Patent 5,030,268"" you will find out.  By-products are all the nasty parts of the chicken, turkey that humans won't eat: feet, neck, spleen, intestines that have bad effects on health. After all there are reasons why humans don't eat these parts, correct? So why should our pets? A good book that explains about by-products and manufacturing is The New Natural Cat by Anitra Frazier.  Because of these ingredients being in most cat foods, I buy Tractor Supply's 4HEALTH INDOOR dry food. Compare the ingredients in the Science Diet food to 4HEALTH and you will see the differences. 4HEALTH is a much better quality product with no corn, wheat or soy at HALF the price.",chicken byproduct corn gluten meal whole ground corn yeah not feeding cat sorry googling corn gluten meal show used herbicide according u patent 5030268 google u patent 5030268 find byproduct nasty part chicken turkey human not eat foot neck spleen intestine bad effect health reason human not eat part correct pet good book explains byproduct manufacturing new natural cat anitra frazier ingredient cat food buy tractor supply 4health indoor dry food compare ingredient science diet food 4health see difference 4health much better quality product no corn wheat soy half price,0.393939394,153,11/6/2010,2010,11,896
B000GKTNXE,A1RRMZKOMZ2M7J,1,4,1,10/18/2010,ORDER CANCELLED,"My order was cancelled 4 days after placing it. I received no explanation or advanced notice. I will think twice before purchasing from Godiva again, which I previously did a lot over the holidays.",order cancelled 4 day placing received no explanation advanced notice think twice purchasing godiva previously lot holiday,0.25,34,10/18/2010,2010,10,197
B000CQBZPG,A1QBECGZ0M6MX1,0,3,1,2/1/2011,"It's not Earl Grey, it's garbage!","Doesn't smell or taste like the real traditional Earl Gray. Horrible taste! I guess people who loves it never had the real thing, the way you can get it in England. I personally find that all tea from this company is bad, but than again, I'm not an American and I do have different taste.",not smell taste like real traditional earl gray horrible taste guess people love never real thing way get england personally find tea company bad not american different taste,0,55,2/1/2011,2011,2,288
B00150FP5Y,A1P1VPY2LIA80F,1,1,1,7/15/2012,Gone bad,"The blueberry concentrate arrived seeming in good condition but upon adding the amount of water to make juice as instructed, it tasted rotten, almost like wine. I tried adding even more water but that just made it taste like bitter water. I don't know if it was kept or shipped in too hot of conditions but it tasted nothing like blueberries. I will be buying this from a health food store from now on.",blueberry concentrate arrived seeming good condition upon adding amount water make juice instructed tasted rotten almost like wine tried adding even water made taste like bitter water not know kept shipped hot condition tasted nothing like blueberry buying health food store,1,74,7/15/2012,2012,7,402
B0028GY93S,A2X64G1ZSF5HSM,0,2,1,9/25/2012,Not good,"I bought this because the ingredients seem to be ok but for some reason it made my dogs have to go outside at least 3 times each night, overnight for the 2 weeks we gave this to them.  We changed back to Origen, a food they do well on and the middle of the night bathroom trips stopped in 2 days. Also, my older dog tends to get really ""diggy"" when she is eating something not good for her and with this food she was constantly digging at the couch!  I have no idea what is wrong with this food, none of the ingredients stand out to me as being the cause but something in it really messed my puggies up!",bought ingredient seem ok reason made dog go outside least 3 time night overnight 2 week gave changed back origen food well middle night bathroom trip stopped 2 day also older dog tends get really diggy eating something not good food constantly digging couch no idea wrong food none ingredient stand cause something really messed puggies,0,121,9/25/2012,2012,9,603
B000OHBAE4,A21NOD90VT59PM,3,3,1,1/11/2012,Not what I ordered,Ordered the Fruitastic Flavors gum and that is what was on the receipt in the box but that was not what Shazz Sales sent.  They sent the plain gum.,ordered fruitastic flavor gum receipt box not shazz sale sent sent plain gum,1,29,1/11/2012,2012,1,147
B000EZOP1G,A1TU9KFFXE44Y0,0,6,1,5/16/2009,Not very good...,"Jack Link's turkey jerky has not been available for a while, so I tried this.<br /><br />It tastes like jerked worcestershire sauce. There isn't much I can add. I'll not buy it again.",jack link turkey jerky not available tried thisit taste like jerked worcestershire sauce not much add not buy,0,33,5/16/2009,2009,5,183
